cluster,pct_FF,pct_SI,pct_FC,pct_SL,pct_CH,pct_CU,pct_FS,pct_KC,pct_ST,pct_KN,avg_velo_FF,spin_overall,groundball_rate,whiff_rate
R_0,0.39957393977844624,0.074425971788506,0.07790591708349293,0.10081301256046858,0.0020957790129094017,0.05493498837567097,0.24173539371562341,0.0036215444624096618,0.03609726095512574,0.004293573032830063,94.56029887811603,2034.099318578354,0.41673850917470356,0.24814444148424047
R_1,0.29787034111709726,0.144569590339859,0.1506178516246748,0.027478297767567994,0.08316693108307158,0.09109718925577512,0.004938027694616442,0.003108386264732352,0.1968204205846706,4.336808689942018e-19,93.69336090602923,2402.739809813716,0.39367917203224434,0.22081216417372732
R_2,5.551115123125783e-17,0.2410265958006627,0.37007117281386664,0.1431564325461025,0.07249029475632018,0.04001189852778031,0.0,0.05090064492451216,0.08230937202401085,2.168404344971009e-19,0.0,2358.6617219472955,0.4869308377584153,0.2087996572493882
R_3,0.42898882398674615,0.09099406947634268,0.032711525094691475,0.12104431445925667,0.05066931009695019,0.0011314186248912173,0.02546499423687969,0.24027091311939314,0.008571545947579917,2.168404344971009e-19,95.98193842967578,2310.567916978638,0.43184054987900117,0.23421710570168747
R_4,0.4259557341122613,0.06188866036305282,0.02642590717353803,0.28893826353040886,0.12622531235778997,0.0476091414301998,0.0038465699559606555,0.0027152150759310843,0.014746066631894553,4.336808689942018e-19,95.0033884047447,2309.9182122434295,0.4010860654164031,0.2490879082098757
R_5,0.11270034742081433,0.4002761985776458,0.04536727388419104,0.2609069482656077,0.06321241570700886,0.03536664416800258,0.023179017099317502,0.004814583322915612,0.05390178322229072,4.4938770924617556e-06,94.1923186613395,2227.562322226966,0.4945911933416505,0.21850029858385106
L_0,0.3837346307919567,0.05008752122104235,0.006527415143603124,0.18959147078253663,0.04776600799218547,0.30065020266091125,0.021642751407764463,0.0,0.0,0.0,95.23205865715427,2280.5073157777842,0.44089893197822644,0.2953533412209415
L_1,0.3175275169233459,0.2082926233227515,0.024366074000248428,0.0007166498310285652,0.06539690697022715,0.029449826094837546,0.000978473581213308,0.0,0.3532719292763475,0.0,92.74340226586492,2313.8740001090573,0.5038389757393462,0.2186554752017641
L_2,0.428170435779107,0.06630481837026213,0.03490296837623472,0.12637496823328329,0.22685546029234444,0.04875471015958607,0.00016321257303059458,0.018582243454127286,0.04384877897839239,2.168404344971009e-19,92.51604293765868,2127.2849352393323,0.40492160152550544,0.23168566313834554
L_3,0.5281772862543329,0.03475537987297511,0.012142836439827914,0.3043038880217845,0.06329388935163058,0.04319016145944639,0.002083333333333333,0.007482394366197182,0.004515905964551162,0.0,93.26996756352398,2359.1805420246947,0.3516645866396476,0.24728048614598697
L_4,0.1820927609458654,0.36838051758510404,0.05885465913708215,2.7755575615628914e-17,0.021857923497267756,0.0,0.0,0.36881413883468067,0.0,1.0842021724855044e-19,61.09517480842912,2106.206968529019,0.49218864825491204,0.23209268083105408
L_5,0.23214285714285715,0.3618421052631579,0.0,0.29793233082706766,0.0,0.008458646616541353,0.0,0.0,0.021616541353383457,0.0627555467173381,96.87327935222672,2419.7619943555974,0.5139664804469274,0.2509025270758123
L_6,5.551115123125783e-17,0.5068164189885459,0.10930156184533088,0.0785016978124142,0.2182741846887436,0.08710613666496544,0.0,0.0,0.0,0.0,0.0,2082.37419714504,0.5244033041478696,0.17681674098447278
L_7,0.4009164074555903,0.046262309724979356,0.056477450094471374,0.09222593738748099,0.00955598455598454,0.07004721226498004,0.23740400674738305,0.0,0.08701416667260531,0.0,91.90832836134324,2049.4313798568196,0.3897187237420071,0.2346054693277633
L_8,0.0970716609336113,0.4830993142897252,0.022196065777786766,0.19930354943243547,0.17372265257271213,0.01734405993664208,2.4732884843690905e-05,0.0,0.007188498402555907,0.0,92.50397011521149,2141.978503836762,0.5205422799280537,0.18712730635028182
L_9,0.16114194121121186,0.3340851622124503,0.06261065850053352,0.031074584646409012,0.17250065821181235,0.22880718481368653,1.734723475976807e-18,0.0,0.009735103680005144,0.0,92.73290994628394,2143.8093749391564,0.5005645206959289,0.21635377645482987
L_10,0.3460568249535383,0.09665062950026253,0.27387158062165984,0.0260286238274801,0.08798477860295009,0.05897216527928402,0.0005514705882352948,0.015635273195738722,0.09424865343085115,0.0,93.37017528880187,2263.5449473860335,0.39891221099607554,0.22944291505922265
L_11,0.24894161367264372,0.2762887651413752,0.031226890740063185,0.34327547892079147,0.04602380530228184,0.004988379343574614,0.01137814408478826,-1.734723475976807e-18,0.037876922794481835,-1.0842021724855044e-19,94.2135393834915,2237.512274463404,0.4331739509527482,0.284860977836204
L_12,0.0,0.4550155769333618,0.08881032351684054,0.0006622516556291091,0.05783092608507931,0.0,-1.734723475976807e-18,-1.734723475976807e-18,0.3976809218090892,0.0,0.0,2302.2036558677623,0.547396090945353,0.21185465273886245
