cluster,pct_FF,pct_SI,pct_FC,pct_SL,pct_CH,pct_CU,pct_FS,pct_KC,pct_ST,pct_KN,avg_velo_FF,spin_overall,groundball_rate,whiff_rate
R_0,0.40877959077697207,0.0916427390797111,0.06209738670442936,0.08081649464145725,0.0744546727131006,0.2651820941410804,0.0010699947375652774,3.469446951953614e-18,0.013837741182616763,0.0,93.05112419398188,2364.1034482096534,0.40833491197324534,0.2295058528546643
R_1,0.49666734146185043,0.03755324568450613,0.021888008073774126,0.13726802562912416,0.23515981271888298,0.05836499940853242,0.002693204715008753,0.006964368869808101,0.003256777194549979,0.0,93.22181837315343,2135.7466707561466,0.39478259153340733,0.22771002043815383
R_2,0.12333301703161689,0.4523600496698567,0.03973909236525775,0.22031889677811137,0.10468046031348718,0.03887609554263871,0.005425084590724138,0.011705902909869791,0.0033740704824154442,0.0,93.41536491766384,2165.8087941489266,0.5071222164135927,0.21039733327047072
R_3,0.32613151316011113,0.16381258094782009,0.07719406972619844,0.03192234434097768,0.05661815114770221,0.026822152819782105,0.0024377031419284927,0.0229199501324021,0.29190702476663694,0.0,94.23994627048843,2402.1826778790646,0.4117683099391154,0.2564660446970348
R_4,0.4035329138152724,0.11812789498819246,0.028786475316042212,0.14875833056807905,0.002072692279221286,0.053771568352846785,0.22465250318856467,0.008971210970716164,0.011302954512808452,0.0,94.16840918834527,2005.9940522714353,0.43832067639488115,0.24920263366958942
R_5,0.2850080533526921,0.09963089352299648,0.39793844033801773,0.08036130572050555,0.053293624025807784,0.06707525500860351,0.003855341113139236,0.005454414102008382,0.0073826728162293236,0.0,94.12791790380432,2374.731547501634,0.423561347608152,0.2472058436132548
R_6,0.4577622048868481,0.04757659704295458,0.005347426524879385,0.3880761656914138,0.04343840501548959,0.03886057402158349,0.004652924339301029,0.012601984814859897,0.0016131882876571565,0.0,95.04140622833977,2383.948607025941,0.399994814625697,0.2768582168059508
R_7,0.32610630268842317,0.08330386771808194,0.10460081696074769,0.07444311779944471,0.04634462151616056,0.0003415300546448091,5.935422602089402e-05,0.36216603442124723,2.2768670309657874e-05,0.0,94.14309920025269,2383.221002052737,0.4454666674665506,0.2759339576293652
L_0,0.4747976720623171,0.07810271123437933,2.7755575615628914e-17,0.3653033373214928,0.04011015609836427,0.03646994835956095,0.0035270454888153726,0.001689129435070224,-1.734723475976807e-17,0.0,94.09965715042239,2330.6925409591363,0.4263109947964308,0.2895180056837106
L_1,0.4786679050493083,0.07588101057468824,0.0067036176427775485,0.16920167074279066,0.17615796895525992,0.08863615348722999,0.0014208156103287465,0.0005880496779870157,0.0027428082596296643,0.0,92.25089291723077,2155.1966000320695,0.4110439482278659,0.22044319198983978
L_2,0.33234585132386674,0.07237149391455547,0.3045177333430596,0.030147827867735594,0.13493605946789486,0.1104845225194647,0.002435897435897436,0.0029487179487179514,0.009499419966468026,0.0,91.3243842349047,2195.5874771947424,0.40612186280486184,0.2133255982676031
L_3,0.08363600836228469,0.48737764691978525,0.05191924856509606,0.15171417928066427,0.16403142389199013,0.04668387880934179,0.00046021253451594213,0.004316631429689969,0.009860770206631848,0.0,92.10362320896512,2051.8191830544283,0.5518488918661167,0.22931128769274542
L_4,0.35965121356860347,0.12962944187020425,0.048041195253998,0.10722695621204822,0.1242957136032196,0.0,-8.673617379884035e-19,0.23110775135141476,4.772814051164434e-05,0.0,92.03594185791526,2274.0448626185816,0.4224457057452908,0.22429385055434412
L_5,0.42798885152928157,0.08549427597396882,0.05119856522610538,0.005200177834687014,0.06493339369140168,0.03468046985549516,-1.734723475976807e-18,-3.469446951953614e-18,0.33042206960433246,0.0,93.236426245586,2300.5369988354373,0.4066979833668984,0.2457882259338105
L_6,0.4021390374331551,0.0,0.0,0.22459893048128343,0.0,0.0,0.30565116080940863,0.0,0.004278074866310159,0.0,91.56303191489361,1822.2847965738758,0.39751552795031053,0.23162583518930957
