cluster,centroid_pca_x_raw,centroid_pca_y,centroid_pca_z,centroid_pca_x
R_0,-0.44245359863036055,-2.472123450411715,0.24635229591718855,4.557546401369639
R_1,-0.8296232011964901,-0.36168353835129724,0.8496654271966009,4.17037679880351
R_2,0.10148646649241207,-0.017739095268565895,-0.7138488854325027,5.101486466492412
R_3,0.6130860137919475,-0.7546938946088241,-0.9373773378864866,5.613086013791947
R_4,-1.3674893709697207,1.1956645153307424,-0.6578626732966397,3.6325106290302793
R_5,-0.2598078236807164,-0.8652845967884851,2.739308794113569,4.740192176319283
R_6,1.5066932122238665,1.4204783643475232,0.18869106852636292,6.506693212223866
R_7,0.1361328414067197,0.3490198498784285,1.8016335918566122,5.136132841406719
R_8,-6.268411699207604,1.6119134610432635,1.4648784723868307,-1.2684116992076042
R_9,0.3320189804915273,0.2743935503022623,-0.2947499081378216,5.332018980491528
L_0,4.934985603185732,0.350277672065209,0.49595986235064515,-9.934985603185732
L_1,-0.1521291849058219,-1.8260172894893132,0.2965004783015781,-4.847870815094178
L_2,-1.116765341827582,1.754318448472957,0.03102028044472719,-3.8832346581724178
L_3,0.1758053827351239,-0.3039228089124121,1.1993502001103835,-5.175805382735124
L_4,1.490154050882778,0.6655093574826711,-0.8988051240134981,-6.4901540508827775
L_5,-0.9657638547820342,-0.8767613948905727,-0.7309987287956173,-4.034236145217966
L_6,-0.8729021527533853,0.5906705714342106,0.3718149760499837,-4.127097847246615
L_7,-0.7841361294588797,-0.8359623492481444,1.7788736438283796,-4.215863870541121
L_8,0.21254097065839161,-0.37632178893944657,2.930859357055895,-5.212540970658392
