cluster,pct_FF,pct_SI,pct_FC,pct_SL,pct_CH,pct_CU,pct_FS,pct_KC,pct_ST,pct_KN,spin_overall,spin_SL,spin_CU,arm_angle,whiff_rate,avg_velo_FF,avg_extension,zone_rate,groundball_rate
R_0,0.34748282256554547,0.14665508026489732,0.16996853652716673,0.003009875513586835,0.1134934842864713,0.18813687724503714,0.0077438330415408145,0.00022359988941967474,0.012338631591767107,0.003837848866728383,2265.3333189196574,129.80843602602,2384.9461065265896,-58.903283853386995,0.2216443233441437,93.08374950103845,6.188654634099171,0.4854498212509181,0.4352100349584978
R_1,0.479617679160068,0.05635576939906563,0.0346406499573749,0.31311510341923776,0.09171890214118585,0.0017472412602300008,0.005321677062117808,0.010630265147195913,0.005321272413239882,1.1128917824334335e-06,2295.6633889116283,2359.6297220347174,173.06447353062435,-63.92376343783781,0.261164670554451,94.75773967741735,6.254919456460889,0.4870813669566355,0.4003604823768119
R_2,0.43316422768153834,0.08489348105922469,0.02886718402742304,0.2039376804005137,0.10560029919255323,0.12423051483905168,0.004814046124570211,0.0007322738170467309,0.010973163948203742,4.336808689942018e-19,2277.214037253725,2373.971710410169,2490.470546353381,-59.39717293898319,0.2242710486369666,93.57420813693639,6.228654999637435,0.4908536729580151,0.4132330013898215
R_3,0.14820393672355645,0.41902715685808767,0.046451777372773326,0.22974803554779494,0.10156138222376485,0.031065800548067755,0.007255558348522153,0.007672683477989486,0.006831604826901334,4.336808689942018e-19,2172.620117339133,2264.8152051342736,918.8091674991497,-67.86951709247855,0.21031318279278327,93.61280436393203,6.15621794061138,0.48193153218212514,0.501929587964271
R_4,0.3861495051186378,0.10193326039282966,0.04240079733172328,0.11276043219985687,0.007986984354064003,0.04691657481242494,0.27625103203119,0.010809108779928566,0.013905424150370604,0.0,1997.2110051236878,1770.9497125250407,1028.920605137585,-55.488020825134,0.2505957219323692,93.76953618546192,6.254669882527854,0.4816855608431018,0.42639143488305786
R_5,0.3819950712742102,0.11549528480157613,0.09011343421567401,0.05219619341587811,0.065455750303861,0.002490159554203855,0.00728076530448505,0.2791605612637103,0.004096676916311014,0.0,2302.5217075083706,960.4710927891249,120.88053362568826,-62.435586533861056,0.24527181322449412,94.11930896132895,6.268620052552806,0.48349464609235754,0.4605859904606708
R_6,0.2880542185742674,0.18582809194810124,0.08463551302347791,0.015454270122908925,0.07597580645225323,0.0264792208296014,0.009563889154442394,0.006068871113476166,0.30534060041389577,0.0020511727264892776,2374.14099040715,627.5649559379092,845.6517987153248,-75.87866728759636,0.23784311848322043,94.06336691173581,6.438481078802171,0.4963247898455996,0.41482687918570027
R_7,1.1102230246251565e-16,0.3865793094610958,0.22095928679043045,0.17946938755977077,0.08468569644373855,0.052605675253209375,0.006369912847385924,0.022538146182963983,0.04476501201816004,0.0,2292.4294946346713,1815.8848071518657,906.2842698931786,-71.23424347118299,0.2258984469194593,-1.4210854715202004e-14,6.239315908061169,0.48316786599191164,0.48424729831165236
L_0,0.3231714605566466,0.18554753229044196,0.06607436699817792,0.04999100507393138,0.11171317752834375,5.6228211568018494e-05,0.0006087168249330399,0.2562748776848233,0.005659644593486522,-2.710505431213761e-20,2209.759764106586,504.0613589369732,29.481981981981562,-53.4886896484218,0.22818596795442672,84.30087390115266,5.9450208238458435,0.49151263912011856,0.43765283917695547
L_1,0.39642034535152804,0.16302797681960216,0.026408661959556386,0.006135425326483007,0.12789910398363932,0.26476640965743165,0.000994629756006872,-5.204170427930421e-18,0.012781731935856699,5.421010862427522e-20,2230.359039989475,247.03109560555617,2476.2819784654725,-63.13904206689161,0.22544540787399195,91.35331093660015,6.13714764256678,0.4932039454957293,0.44216099835932093
L_2,5.551115123125783e-17,0.5768034212764581,0.04022226749014038,0.15144988002563525,0.14759266073536093,0.054181455121363645,0.0018062570145903484,0.010226814924715989,0.01565302348417659,2.710505431213761e-20,2143.3980039733756,1850.6722768807754,878.8212320215572,-74.75741336378063,0.22886512684311394,4.263256414560601e-14,6.102654927210207,0.4894307550937057,0.4949084624536636
L_3,0.29236972435163755,0.1934207452861078,0.06723779464674341,0.009271563802458888,0.08815508561267679,0.012899649398917912,0.002079465464141432,1.4337328668921623e-05,0.3344389437782327,2.710505431213761e-20,2269.088563048125,417.0191016190811,538.7833913738492,-79.25291701536536,0.23149407399715483,84.61718309625739,6.1799235748295755,0.5057475993483451,0.4405786515760377
L_4,0.4787869377686493,0.0841358901742585,0.010464771384761914,0.31381033803164826,0.0894958763922074,0.00257660721586149,0.003748263091240219,0.0069910224773658235,0.008806132237058041,2.710505431213761e-20,2243.204345931717,2317.0817179285004,150.63490452155975,-63.59974267968776,0.2656550850728806,93.72175702506823,6.281983251750284,0.4894492476188795,0.41406017980898296
L_5,0.4338675959881184,0.04423764284380541,0.03945036775635022,0.10849739368156211,0.0027198232406831224,0.039247173150524575,0.2942424108814243,-1.734723475976807e-18,0.03534100596834289,2.710505431213761e-20,1950.6422935782834,1602.4511674838402,1375.3593697527485,-64.30853758219175,0.257613436577553,92.32273982524082,5.93308784297308,0.47211120728005457,0.4255532437363725
L_6,0.31228447966165257,0.12157046113881319,0.2815849042868952,0.01642028407802193,0.16253538606400486,0.08130209292049033,0.001742832959832563,0.003418999915523288,0.01854900612840788,-2.710505431213761e-20,2156.228786075122,705.5580338423524,1777.7313207981242,-61.43161872784603,0.21702627005858166,91.08202556932548,6.102285410882282,0.4901787555546669,0.43457181728894034
L_7,0.11986280133838376,0.4691609195180417,0.036260778560377516,0.18820740792473184,0.14642998403235866,0.029161368656161847,0.0008398110588841235,0.00487078294938692,0.0029415251025900653,2.1855917052423623e-05,2078.570087979892,2130.948895686234,769.2128706363294,-65.92444685721553,0.2078730540544591,91.8291553311021,6.030502456061253,0.4747649158753508,0.5477769349318655
L_8,0.44733367198967733,0.07986651805815202,0.012380743224813327,0.19915504743815052,0.12945872753081686,0.11921618338492469,0.002168188515616255,0.0004628470109816693,0.007382660363986569,0.0003746627710348651,2227.3612609601846,2347.4806459887095,2433.8611503621487,-59.161047878891,0.22638900253244867,92.46350123090909,6.1995806768132615,0.49382273524954595,0.42199149565978755
